Property type,Region,Time,Value
Attached dwellings,NT,Mar-17,100.9
Attached dwellings,NT,Jun-17,99.1
Attached dwellings,NT,Sep-17,96.3
Attached dwellings,NT,Dec-17,93.6
Attached dwellings,NT,Mar-18,90.4
Attached dwellings,NT,Jun-18,88.9
Attached dwellings,NT,Sep-18,86.5
Attached dwellings,NT,Dec-18,84.6
Attached dwellings,WA,Mar-17,101.3
Attached dwellings,WA,Jun-17,99.8
Attached dwellings,WA,Sep-17,98.5
Attached dwellings,WA,Dec-17,98.3
Attached dwellings,WA,Mar-18,98.1
Attached dwellings,WA,Jun-18,96.9
Attached dwellings,WA,Sep-18,95.8
Attached dwellings,WA,Dec-18,94.4
Residential property,QLD,Mar-17,121.4
Residential property,QLD,Jun-17,122.1
Residential property,QLD,Sep-17,122.9
Residential property,QLD,Dec-17,124.0
Residential property,QLD,Mar-18,123.3
Residential property,QLD,Jun-18,124.2
Residential property,QLD,Sep-18,125.0
Residential property,QLD,Dec-18,123.6
Established houses,ACT,Mar-17,125.6
Established houses,ACT,Jun-17,127.3
Established houses,ACT,Sep-17,127.5
Established houses,ACT,Dec-17,129.6
Established houses,ACT,Mar-18,131.5
Established houses,ACT,Jun-18,132.2
Established houses,ACT,Sep-18,132.8
Established houses,ACT,Dec-18,132.3
Attached dwellings,TAS,Mar-17,122.1
Attached dwellings,TAS,Jun-17,122.8
Attached dwellings,TAS,Sep-17,130.0
Attached dwellings,TAS,Dec-17,135.1
Attached dwellings,TAS,Mar-18,135.9
Attached dwellings,TAS,Jun-18,141.3
Attached dwellings,TAS,Sep-18,145.5
Attached dwellings,TAS,Dec-18,150.3
Residential property,WA,Mar-17,105.5
Residential property,WA,Jun-17,104.7
Residential property,WA,Sep-17,103.7
Residential property,WA,Dec-17,104.8
Residential property,WA,Mar-18,103.9
Residential property,WA,Jun-18,103.8
Residential property,WA,Sep-18,103.2
Residential property,WA,Dec-18,102.2
Residential property,NT,Mar-17,101.5
Residential property,NT,Jun-17,100.1
Residential property,NT,Sep-17,97.5
Residential property,NT,Dec-17,96.0
Residential property,NT,Mar-18,94.9
Residential property,NT,Jun-18,94.0
Residential property,NT,Sep-18,93.2
Residential property,NT,Dec-18,92.6
Attached dwellings,NSW,Mar-17,159.1
Attached dwellings,NSW,Jun-17,163.2
Attached dwellings,NSW,Sep-17,160.9
Attached dwellings,NSW,Dec-17,160.9
Attached dwellings,NSW,Mar-18,159.7
Attached dwellings,NSW,Jun-18,157.7
Attached dwellings,NSW,Sep-18,155.6
Attached dwellings,NSW,Dec-18,150.6
Attached dwellings,ACT,Mar-17,102.5
Attached dwellings,ACT,Jun-17,103.3
Attached dwellings,ACT,Sep-17,102.2
Attached dwellings,ACT,Dec-17,104.1
Attached dwellings,ACT,Mar-18,102.9
Attached dwellings,ACT,Jun-18,103.8
Attached dwellings,ACT,Sep-18,104.5
Attached dwellings,ACT,Dec-18,104.7
Established houses,VIC,Mar-17,152.8
Established houses,VIC,Jun-17,157.4
Established houses,VIC,Sep-17,159.9
Established houses,VIC,Dec-17,164.0
Established houses,VIC,Mar-18,163.1
Established houses,VIC,Jun-18,161.5
Established houses,VIC,Sep-18,156.6
Established houses,VIC,Dec-18,151.6
Attached dwellings,SA,Mar-17,106.2
Attached dwellings,SA,Jun-17,108.2
Attached dwellings,SA,Sep-17,109.7
Attached dwellings,SA,Dec-17,109.9
Attached dwellings,SA,Mar-18,108.3
Attached dwellings,SA,Jun-18,109.5
Attached dwellings,SA,Sep-18,110.8
Attached dwellings,SA,Dec-18,110.6
Established houses,QLD,Mar-17,123.7
Established houses,QLD,Jun-17,124.7
Established houses,QLD,Sep-17,125.5
Established houses,QLD,Dec-17,127.2
Established houses,QLD,Mar-18,126.2
Established houses,QLD,Jun-18,127.3
Established houses,QLD,Sep-18,128.3
Established houses,QLD,Dec-18,127.0
Residential property,TAS,Mar-17,122.5
Residential property,TAS,Jun-17,124.7
Residential property,TAS,Sep-17,129.0
Residential property,TAS,Dec-17,134.0
Residential property,TAS,Mar-18,139.8
Residential property,TAS,Jun-18,144.0
Residential property,TAS,Sep-18,145.8
